alpha,Cd,Cs,Cl,Cm
-10.0,0.1145642577313759,-1.0186945209532765e-21,-0.2989604670437933,0.0581854929136097
-9.5,0.1021311837448768,-9.918217508383414e-22,-0.2245458665019229,0.04834194198419301
-9.0,0.09069093549953688,-9.703037024437254e-22,-0.16227392109948904,0.04045983662742761
-8.5,0.08031792364276491,-9.535454066893931e-22,-0.1111295740608856,0.03432123844635226
-8.0,0.07108655882196964,-9.409518944953092e-22,-0.07009776861050662,0.029708209044005684
-7.5,0.06307125168455985,-9.319281967814382e-22,-0.03816344797274604,0.02640281002342664
-7.0,0.05634641287794432,-9.258793444677441e-22,-0.014311555371997943,0.024187102987653884
-6.5,0.05098645304953179,-9.22210368474192e-22,0.002472965967343796,0.022843149539726142
-6.0,0.04706578284673103,-9.203262997207466e-22,0.013205172820885264,0.022153011282682163
-5.5,0.04465881291695081,-9.196321691273718e-22,0.018900121964232422,0.0218987498195607
-5.0,0.0438399539075999,-9.195330076140325e-22,0.0205728701729912,0.0218624267534005
-4.5,0.04484403137361152,-9.393769441147479e-22,2.1678654842578835e-05,0.025744786757205426
-4.0,0.04735422503864055,-9.889867853665366e-22,-0.051356300140528985,0.03545068676671775
-3.5,0.0506174768031783,-1.0534795789938619e-21,-0.11814767257451199,0.04806835677908375
-3.0,0.05388072856771605,-1.1179723726211871e-21,-0.18493904500849503,0.06068602679144976
-2.5,0.0563909222327451,-1.1675822138729757e-21,-0.23631702380386654,0.07039192680096207
-2.0,0.0573949996987567,-1.1874261503736912e-21,-0.2568682153220152,0.074274286804767
-1.5,0.05521334080373774,-1.169308304710011e-21,-0.2211436887229862,0.06662985899443337
-1.0,0.05009105699670657,-1.12392710877403e-21,-0.1331855431596258,0.04823870980475276
-0.5,0.04416218759470174,-1.0647410741483368e-21,-0.021816929982523853,0.025914040597705655
0.0,0.0395607719147618,-1.005208712415521e-21,0.0841389994577299,0.0064690527352725
0.5,0.03644960902071129,-9.405541181303599e-22,0.186078189420299,-0.010912169016384967
1.0,0.03364809754142019,-8.646525121416996e-22,0.2969561760904909,-0.029040109106737266
1.5,0.0312751761414953,-7.889390954732324e-22,0.4052891960069312,-0.04409341999725234
2.0,0.0294497834855434,-7.248490691486498e-22,0.4995934857082457,-0.0522507541493981
2.5,0.02794620853496534,-6.721555386453743e-22,0.5805866139919181,-0.055484426934010386
3.0,0.02649075390519989,-6.228427445770576e-22,0.6568775651604449,-0.05830965248620302
3.5,0.02513037874191078,-5.766625906717334e-22,0.7288196990099702,-0.060719431413861026
4.0,0.02391204219076169,-5.333669806574363e-22,0.7967663753366386,-0.06270676432486941
4.5,0.02288270339741633,-4.927078182622007e-22,0.8610709539365944,-0.06426465182711312
5.0,0.03313398226130759,-4.544370072140609e-22,0.9220867946059814,-0.06538609452847724
5.5,0.03236828350018738,-4.1830645124105116e-22,0.9801672571409449,-0.06606409303684668
6.0,0.0320973975312594,-3.840680540712058e-22,1.0356657013376285,-0.0662916479601065
6.5,0.03226148480661448,-3.5268318986602144e-22,1.0907625764896383,-0.06579135364463135
7.0,0.03274483549870551,-3.245656758687173e-22,1.146344218813281,-0.06447239590383319
7.5,0.03353408290657127,-2.9864608042991245e-22,1.2008228184887513,-0.06260766254615303
8.0,0.0346158603292505,-2.7385497190022535e-22,1.252610565696244,-0.060470041380031904
8.5,0.03597680106578195,-2.491229186302747e-22,1.3001196506159538,-0.05833242021391075
9.0,0.03760353841520435,-2.2338048897067936e-22,1.3417622634280755,-0.05646768685623061
9.5,0.03948270567655647,-1.955582512720579e-22,1.3759505943128036,-0.05514872911543246
10.0,0.04160093614887705,-1.645867738850292e-22,1.4010968334503338,-0.0546484347999573
10.5,0.06057724904859082,-1.2282620295319593e-22,1.4210744977898837,-0.055377010053799657
11.0,0.06946818587688799,-7.30801341953451e-23,1.4389006590156994,-0.05733382081640998
11.5,0.08141835281038122,-2.994431032487165e-23,1.4517028394105165,-0.060175494589413195
12.0,0.0957053773093908,-8.014474055170505e-24,1.4566085612570696,-0.0635586588744342
12.5,0.117378614999223,-2.178919681369906e-24,1.42679012875102,-0.0692861741708663
13.0,0.1486889317297332,2.2592265733530785e-24,1.35596538095394,-0.07816276120376277
13.5,0.1847162202980649,5.081974103530227e-24,1.2720801424474328,-0.0883478378132383
14.0,0.2205403735013618,6.071332303693328e-24,1.2030802378131007,-0.0980008218394076
