aoa,CL,CD,CS,CMx,CMy,CMz
-12,-0.30854247293006,0.125528488978227,6.6122158513645E-14,1.03885967161545E-10,-0.0358702690527749,1.85255880770908E-11
-11,-0.300055190783604,0.118876964320183,5.47749910303327E-14,1.00504857032332E-10,-0.0338837203833733,1.88097049263026E-11
-10,-0.287476758025234,0.111908861799167,2.3087239047983E-14,9.58326836360814E-11,-0.03137410606249,1.90942349356402E-11
-9,-0.264169194233895,0.104241906350864,6.91052651016516E-15,8.77996040949155E-11,-0.0250627032030131,1.9521523759667E-11
-8,-0.237018677356842,0.095852414672475,-1.54842497112618E-14,7.85373400469847E-11,-0.018731818981549,1.96213367627529E-11
-7,-0.206573954280386,0.0873328596800195,-4.27208087174511E-14,6.82562770724897E-11,-0.0121912428002948,1.94897935295721E-11
-6,-0.172708467721329,0.0787133858141293,-5.51589892138073E-14,5.6944777813904E-11,-0.00462565638319518,1.90883217770916E-11
-5,-0.148631634268499,0.0729396814988642,-1.00888802762251E-13,4.87884664782052E-11,-1.16184813853787E-05,1.89282453606504E-11
-4,-0.10523323256277,0.0655287935840513,-1.15867498689373E-13,3.4553853221982E-11,0.00831410946727188,1.8401872503438E-11
-3,-0.0729936358114666,0.0603464375933233,-1.40705472695795E-13,2.39197402247188E-11,0.0145070642673598,1.79004420858843E-11
-2,-0.0583823184224343,0.0574401016246701,-1.94501757102057E-13,1.88723599474044E-11,0.0173807826718617,1.75679658484337E-11
-1,0.000283853671123011,0.0530116535752443,-2.18805470661835E-13,-7.36005680827421E-14,0.0270178731401779,1.68215813427367E-11
0,0.0812734891586211,0.049297447477188,-2.17363440103334E-13,-2.60206008451228E-11,0.0405151653308833,1.56439625664768E-11
1,0.161583350392478,0.0473494754461052,-2.13914660413951E-13,-5.17110827116286E-11,0.0546401703052135,1.41327549980968E-11
2,0.242251616827977,0.0470631116596369,-2.17907744448716E-13,-7.7489710712656E-11,0.0693329187428373,1.22511183362185E-11
3,0.323235446865787,0.0483606852942035,-2.18106825935484E-13,-1.03331959623539E-10,0.0846820348281753,9.97229865058937E-12
4,0.402517766400139,0.0511122511005467,-2.15747960654957E-13,-1.28601478162533E-10,0.100766206806716,7.29175470336446E-12
5,0.479056262108818,0.0550663962675994,-2.1277484956407E-13,-1.5296699907997E-10,0.117297868344904,4.18806289591765E-12
6,0.552882878019968,0.0600535150181296,-2.14983260100571E-13,-1.76443496723439E-10,0.133645778634293,6.47976611697117E-13
7,0.624270502639315,0.065990909454846,-2.16522926855033E-13,-1.9910241023266E-10,0.149201553310999,-3.31674671459257E-12
8,0.693276218009205,0.0728425763438137,-2.10822071615155E-13,-2.20954637209315E-10,0.163776857886555,-7.6818415543013E-12
9,0.759519337101078,0.080546644214587,-2.02768402422736E-13,-2.41883048122406E-10,0.177340746718348,-1.24082119481873E-11
10,0.806275709252205,0.0918282731091856,-7.20142537277759E-13,-2.57598699563632E-10,0.185511816300685,-1.60721820522555E-11
11,0.867029274125722,0.101371594287096,-7.19649786284636E-13,-2.76770295231664E-10,0.197395695971493,-2.13054128835132E-11
12,0.905744747079632,0.114812697196011,-3.61237337929841E-13,-2.88877928557381E-10,0.202563736257237,-2.44218433362201E-11
13,0.963439616551782,0.125700960055153,-3.27267271766974E-13,-3.06963709123511E-10,0.213218514086406,-3.02459013689902E-11
14,0.944060667205422,0.143498890174932,-3.46907000823856E-13,-3.01829644932855E-10,0.203574011680861,-2.86331505273027E-11
15,0.932315566342903,0.163112086412459,-4.58733596930196E-13,-2.99388134633244E-10,0.196370390460284,-2.69176366749349E-11
16,0.922612025659405,0.177882081861633,0.000469471313624797,0.0012274464735393,0.190206157099437,2.14180147532968E-05
17,0.936409430073841,0.201021638018533,-3.57947720773416E-13,-3.02917655993802E-10,0.190656744993399,-2.61596130695174E-11
